german,english,type,gender,example
Anzug,suit,Noun,der,Er trägt heute einen eleganten schwarzen Anzug zum Vorstellungsgespräch.
Anzüge,suits,Noun,die,Im Schrank hängen drei verschiedene Anzüge für die Arbeit.
Apfelstrudel,apple cake,Noun,der,Ich esse am liebsten warmen Apfelstrudel mit Vanilleeis.
Autobahn,highway,Noun,die,Auf der Autobahn nach München gibt es heute viel Stau.
Autobahnen,highways,Noun,die,Deutsche Autobahnen sind weltweit bekannt.
Bulgarisch,Bulgarian,Noun,das,Er lernt seit drei Monaten Bulgarisch.
bulgarisch,Bulgarian,Adjective,,Wir haben gestern in einem bulgarischen Restaurant gegessen.
Butterbrot,sandwich,Noun,das,Ich esse morgens oft ein Butterbrot mit Käse.
Butterbrote,sandwiches,Noun,die,Für den Ausflug packt sie vier Butterbrote ein.
das,the,,,
der,the,,,
die,the,,,
Französisch,french,Noun,das,Sie spricht fließend Französisch.
französisch,french,Adjective,,Französischer Käse ist weltweit sehr beliebt.
Frühstück,breakfast,Noun,das,Das Frühstück ist im Hotelpreis inbegriffen.
Frühstücke,breakfasts,Noun,die,Am Wochenende genießen wir ausgiebige Frühstücke.
international,international,Adjective,,Die Konferenz ist sehr international aufgestellt.
Italienisch,italian,Noun,das,Italienisch klingt sehr melodisch.
italienisch,italian,Adjective,,Die italienische Küche schmeckt fantastisch.
Japanisch,japanese,Noun,das,Er liest Mangas auf Japanisch.
japanisch,japanese,Adjective,,Sie trinken gerne traditionellen japanischen Grüntee
Kranke,sick person,Noun,die,Die Kranke braucht viel Ruhe und Schlaf.
Rucksack,backpack,Noun,der,Mein Rucksack ist zu schwer für die Wanderung.
Rucksäcke,backpacks,Noun,die,Die Schüler stellen ihre Rucksäcke in die Ecke.
Russisch,russian,Noun,das,Verstehst du ein bisschen Russisch?
russisch,russian,Adjective,,Klassische russische Literatur ist sehr tiefgründig.
Türkisch,turkish,Noun,das,Sie lernt Türkisch für ihre Reise nach Istanbul.
türkisch,turkish,Adjective,,Der türkische Kaffee wird in einem kleinen Kännchen gekocht.
Ungarisch,hungarian,Noun,das,Ungarisch gilt als eine sehr schwere Sprache.
ungarisch,hungarian,Adjective,,Ein echtes ungarisches Gulasch braucht viel Paprika.
Walzer,waltz,Noun,der,Das Brautpaar tanzt einen langsamen Walzer.
Walzer,waltz,Noun,die,Auf dem Ball wurden viele berühmte Walzer gespielt.
Würstchen,sausage,Noun,das,Möchtest du ein Würstchen mit Senf?
Würstchen,sausage,Noun,die,Wir grillen heute Abend Würstchen im Garten.
